P. Teq Mean (K),P. Ts Mean (K)
729,775.5
542.6,589.2
945,
804.3,850.2
661.6,702
1394.5,1444.8
695.7,
648.5,689
524,572.4
716.9,
489.9,536.6
456.7,493.5
327,366
409.1,445.4
280.1,318.4
974,1023.8
706.4,754.8
1160,
873.4,
715.6,
771.8,821.9
1308.4,1347
941,
609,654.2
916.6,955.7
658.9,702
313.6,
643.6,679.9
418.4,457.7
932,981.4
571.6,617
1195.8,1228.8
759.4,804
776.7,
428.1,464.2
761.4,787
419.5,465
704.9,738
659.9,694.2
2524.1,
389.7,460.6
1013.7,
1163.6,
824.3,871
2168.5,2215.2
719.3,756.6
1331.1,
583.5,629.4
1344.1,1426
102.2,
302.6,
205.1,246.2
150.6,193.7
2216.3,
1565.7,
1667.7,
1670.5,
1209,
220.6,
1874.9,
1533.4,
1258.6,
1564.6,
1499.8,
2242.9,
1908,
1904.5,
1772.9,
2125.2,
1474.7,1518.9
1652.1,
1374.1,
1486.8,
1519.5,
699.6,
552.8,
1601.5,1640.8
2000.5,2039.8
529,577.5
870.7,902.7
806.8,
658.7,
596.4,
525.3,
386.4,
1354.2,
3142.2,
1421.9,
1027.9,
188.4,
1622.7,
1181.7,1223.3
911.1,
729.8,
771.9,819.3
530.1,
409.2,
1088.2,1133.6
758.9,800.4
385.7,
926.3,956.9
626.7,659.6
515.8,
1783.8,1824.9
261.3,310.1
1143.1,1184.8
995.1,
888.8,937
935.3,984.1
812.5,
1220.4,
959.7,
442.6,
522.8,
465.9,
324.9,374.4
532.4,
418.5,
680,
595,
828,
749,
556.9,
431.4,
334.2,
771.9,
605.5,
494.4,
559.9,
417.3,
1349.8,1392.6
1018.5,
861.5,
759.5,
697.5,
261.4,
318.2,
987.1,1028.9
935.8,
661.8,678.4
566.7,595.1
460,504.4
483.7,539.8
825.8,
1481.1,
1399.9,
517.9,547
720.1,748.1
449.5,474
1497.9,
1049.2,
800.7,
496.9,
416.5,
448.8,
245.3,
936.8,980.6
740.5,784.7
450.7,493.3
158.7,
521.7,
454.2,
724.5,765.2
374.5,414.7
1199.3,1252.5
1128.5,1179.7
486.8,
393.9,
515.9,562.3
404.1,446.9
303.7,348.2
659.1,
517.4,
807.8,854.1
461.7,508.2
402.7,438.9
325.4,365.2
373.7,423.7
325.8,373.5
860.1,900.7
668.6,708.6
514.7,555.2
1368.8,
1079.9,
309.6,
798.8,846.4
631.3,725.4
868.8,941.7
754.9,831.2
538.2,
808.5,896.8
704,781
1166.6,1205.9
1082.9,1120.2
983.5,1020.9
267.3,314
724.6,761.8
559.1,582.8
491.9,536.4
260.8,301.6
201.1,239.5
825.1,
617.4,
1731.4,1769.8
1241.7,1291.7
1116.9,1156.5
702.7,
605.9,
1146.4,1185
935.3,966.9
240.2,
780.7,828.2
299.3,341.2
7112,7142.5
6319.1,6351.4
1027.2,
858.3,
762.3,
1756.9,
1141.5,
1930.3,1965.9
865.9,
684.9,
552.9,
476.7,
644,683.6
582.7,620.8
849.7,895.7
740.4,781.3
1240.9,1277.1
622,
493.4,543.3
411.4,447.2
580,
464,
1293.1,1335.6
949.9,1000
482.6,531.3
379.7,424.2
596.9,641.3
936.6,983.8
821,870.4
1183.2,1221.2
634.2,
539.6,586.8
815.1,863.3
711.1,760
635.1,670.7
567.1,603.7
269.8,
485.3,
408.8,
764.1,
609.3,
1552,1599.2
1102.9,
854.3,
635.7,
1052.9,1090.1
960.1,995.6
506.3,
442,
413.4,
339.9,
285,
1876.1,
978.7,1031.1
785.5,822.9
640.1,685.9
1040.9,1081.7
1001.6,
145.4,
932.4,972.6
715.3,755.2
1165.6,1213.3
948.6,
670.2,708.3
1448.6,
1217.1,1254.5
788.2,824.3
714.2,764.1
628.9,669.1
540.4,582.9
455.1,486.8
868.8,
387.7,
954.3,
748,
577.1,
1039.4,1082.7
1027,1047.3
789.5,831.8
653,705.4
534,576.7
1460.4,1500.8
1261.2,1302.5
1068.5,1102.2
873.5,
704.7,
449.8,
1148.3,
775.4,
861.5,904.7
633.3,680.6
1317.9,1358.3
324,
812.7,861.6
540.2,589.5
771.9,819.3
625.7,668.2
693.7,742.3
597.9,657.4
527.3,562.8
1528.4,1562.5
983.2,
1241.5,
957.5,1005.7
857.3,
615.6,
898.6,943.2
646.6,
1208.6,
1021.4,1052.9
560.6,607.3
443.2,483
992.1,1040.8
421.6,469.5
1164.7,1213.4
896.6,
748.4,795.5
618.4,
820.2,
708.4,747.6
890.2,918.3
555.9,598.3
426.4,460.8
592.5,641.4
531.2,559.5
1019.3,1058
795.3,834.7
479.3,
875.1,914.8
702,751.2
593.3,
930.3,991.8
810.7,873
900.2,949.6
518.4,
979.8,1012.2
653.4,
427.3,464.4
718,764.5
615.7,670
1110.8,1146.6
1102.6,1139.3
779.7,819.7
,
1049.8,1092.2
669.6,
1169.9,1214.9
944.8,981.2
1169.1,1212
942.9,978
970.1,1015.7
866,911
737.2,776.3
567.4,611.1
459.2,477
410.7,438.6
345.8,373.8
789.2,
367.4,
1434.6,1475.5
473,515.9
974.4,1001.7
743.4,781.8
1608.3,1653.3
1205.1,
584.8,631.6
843.8,893.2
706.8,
1161.1,1198.5
972.9,1010.5
872.5,924.8
716.6,769.9
645.1,
478.2,
956.1,995.9
691.5,741.2
1280.8,1323.7
958.4,
,
539.1,
436.3,477.1
306,
1133.1,1169.5
879.7,
737,
546.7,
213.4,
644,
548.3,594.3
540.6,
319,368.2
625.9,
461.7,
563.8,611.7
455.8,
667.7,
1158.6,1198.1
851.1,890.6
661.4,707.3
318.2,365.8
869.9,918.1
591,
1551.6,1588.9
782.8,830.4
,
481.8,528.1
403.8,447.8
578.6,627.6
354.8,
1083.4,1123.3
733.8,
867.2,913.5
772.8,818.4
956.5,993
678.8,
874.7,908.3
626.6,674.4
1156,1194.4
893.9,
643.8,693.7
751.4,799.8
607.9,655.4
765.2,813.1
464.9,514
,
807.6,846.4
678.5,716.3
472,509.3
128.7,
1233.2,1272.2
856.8,
960.4,995.1
771.4,807.2
701.4,737.8
592.8,639.9
320.6,
898.5,
702.1,
1019.7,1068.4
728.3,
482.8,526.7
1266.1,1314.9
971,
737.1,784.9
551.3,
1183,1219.9
952.8,1002.5
535.8,580.4
366.2,405.6
205.9,252.9
829.3,
582.2,
903.7,942.4
681.4,
539.1,
,
569.2,
511.4,
888,
687,
410.9,
